SLAMBench Report run started:	2020-03-13 12:51:32

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/1-1-TUM1XYZ-ORB-0.00002.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 2e-05
intensity-weight: 1
depth-weight: 1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1943299770	0.0256472826	0.0256472826	0.0256472826	0.0000000000	0.0155440000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2267379761	0.0284436420	0.0270454623	0.0284436420	0.0242432058	0.0208350000	0	0	209321984	-0.0014169307	0.0066641374	0.0111389365
3	1305031102.2628860474	0.0221411996	0.0254107080	0.0284436420	0.0174624424	0.0172070000	0	0	209321984	-0.0018644945	0.0049965703	0.0247112848
4	1305031102.2952790260	0.0195565671	0.0239471728	0.0284436420	0.0142830577	0.0171970000	0	0	209321984	-0.0026807699	0.0064607221	0.0364153497
5	1305031102.3291950226	0.0151030207	0.0221783424	0.0284436420	0.0139097061	0.0174220000	0	0	209321984	-0.0020300676	0.0041145119	0.0494582057
6	1305031102.3630130291	0.0130694266	0.0206601898	0.0284436420	0.0128205111	0.0174810000	0	0	209321984	-0.0029241084	0.0052412874	0.0608815737
7	1305031102.3947720528	0.0103192162	0.0191829078	0.0284436420	0.0117512904	0.0173750000	0	0	209321984	-0.0041768551	0.0060729794	0.0731563568
8	1305031102.4278149605	0.0104724048	0.0180940949	0.0284436420	0.0139458415	0.0167190000	0	0	209321984	-0.0080689676	0.0100552319	0.0835616067
9	1305031102.4623949528	0.0122381076	0.0174434297	0.0284436420	0.0150474862	0.0177520000	0	0	209321984	-0.0076916488	0.0180662982	0.0946049392
10	1305031102.4942710400	0.0113284998	0.0168319367	0.0284436420	0.0151555838	0.0208460000	0	0	209321984	-0.0058739306	0.0165456422	0.1084493250
11	1305031102.5263299942	0.0143802818	0.0166090590	0.0284436420	0.0147558091	0.0194780000	0	0	209321984	-0.0048659514	0.0170191228	0.1216917709
12	1305031102.5622239113	0.0148603199	0.0164633307	0.0284436420	0.0146474643	0.0189780000	0	0	209321984	-0.0069759823	0.0155215710	0.1335638762
13	1305031102.5941579342	0.0204798710	0.0167722953	0.0284436420	0.0144002730	0.0187450000	0	0	209321984	-0.0062112864	0.0120667089	0.1476132572
14	1305031102.6268179417	0.0249299072	0.0173549819	0.0284436420	0.0140684954	0.0186310000	0	0	209321984	-0.0087107699	0.0101123359	0.1583009958
15	1305031102.6632730961	0.0196905993	0.0175106897	0.0284436420	0.0145218348	0.0195770000	0	0	209321984	-0.0135782734	0.0183029622	0.1679415703
16	1305031102.6951649189	0.0209067725	0.0177229449	0.0284436420	0.0140559560	0.0198820000	0	0	209321984	-0.0138022490	0.0216030832	0.1812472641
17	1305031102.7284231186	0.0265959650	0.0182448873	0.0284436420	0.0137862845	0.0188270000	0	0	209321984	-0.0148680620	0.0215040669	0.1941381842
18	1305031102.7635490894	0.0249649417	0.0186182236	0.0284436420	0.0139148859	0.0190610000	0	0	209321984	-0.0141961416	0.0290473327	0.2065778673
19	1305031102.7949779034	0.0300497673	0.0192198838	0.0300497673	0.0135651205	0.0184710000	0	0	209321984	-0.0120971808	0.0299413670	0.2203131467
20	1305031102.8285369873	0.0328895226	0.0199033658	0.0328895226	0.0134983547	0.0182060000	0	0	209321984	-0.0133459121	0.0330627784	0.2321707308
21	1305031102.8628079891	0.0383987054	0.0207840962	0.0383987054	0.0132541155	0.0175160000	0	0	209321984	-0.0138746062	0.0319961645	0.2454273105
22	1305031102.8941669464	0.0391715653	0.0216198903	0.0391715653	0.0132517195	0.0192570000	0	0	209321984	-0.0170324966	0.0353113562	0.2567343116
23	1305031102.9268510342	0.0412812643	0.0224747326	0.0412812643	0.0130146910	0.0200490000	0	0	209321984	-0.0178334676	0.0392759442	0.2679409981
24	1305031102.9621369839	0.0421972163	0.0232965028	0.0421972163	0.0141833150	0.0187180000	0	0	209321984	-0.0255987309	0.0414097160	0.2793186307
