SLAMBench Report run started:	2020-03-13 03:58:51

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/0-1-TUM2XYZ-ORB-0.00005.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 5e-05
intensity-weight: 0
depth-weight: 1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4835000038	0.0594216883	0.0594216883	0.0594216883	0.0000000000	0.0182210000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867170.5168180466	0.0602023453	0.0598120168	0.0602023453	0.0119371079	0.0206760000	0	0	209321984	-0.0038922403	-0.0008034788	-0.0014807117
3	1311867170.5513839722	0.0592528991	0.0596256442	0.0602023453	0.0084755620	0.0172200000	0	0	209321984	-0.0070339935	-0.0010793762	-0.0039729183
4	1311867170.5809900761	0.0585518852	0.0593572045	0.0602023453	0.0072739409	0.0165170000	0	0	209321984	-0.0073394915	-0.0003774277	-0.0062482255
5	1311867170.6179420948	0.0585802384	0.0592018113	0.0602023453	0.0081713154	0.0163750000	0	0	209321984	-0.0104600098	-0.0024135390	-0.0077927629
6	1311867170.6496739388	0.0568147600	0.0588039694	0.0602023453	0.0079709891	0.0164600000	0	0	209321984	-0.0096655432	-0.0036495219	-0.0109407315
7	1311867170.6805319786	0.0565730743	0.0584852701	0.0602023453	0.0074325083	0.0166490000	0	0	209321984	-0.0119794924	-0.0043104254	-0.0125164138
8	1311867170.7173581123	0.0562813431	0.0582097792	0.0602023453	0.0070598321	0.0161120000	0	0	209321984	-0.0117185730	-0.0036640591	-0.0145336185
9	1311867170.7494509220	0.0579195432	0.0581775308	0.0602023453	0.0072249162	0.0164160000	0	0	209321984	-0.0147105949	-0.0049406118	-0.0146660972
10	1311867170.7803640366	0.0577332303	0.0581331007	0.0602023453	0.0071130743	0.0162090000	0	0	209321984	-0.0185324196	-0.0074999067	-0.0163326394
