SLAMBench Report run started:	2020-03-07 11:18:00

Properties:
=================

frame-limit: 0
log-file: ./experiments/final/config/ICL3-ORB-INT-0.01.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.01

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0142320000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0009257612	0.0004628806	0.0009257612	0.0011620549	0.0192210000	0	0	209321984	-0.0008171806	0.0004731730	-0.0004111742
3	0.0800000000	0.0013347912	0.0007535175	0.0013347912	0.0013909643	0.0160340000	0	0	209321984	-0.0045738495	0.0009357149	-0.0004419178
4	0.1200000000	0.0029600423	0.0013051487	0.0029600423	0.0014982106	0.0157420000	0	0	209321984	-0.0004002261	0.0007033405	-0.0009479205
5	0.1600000000	0.0038077512	0.0018056692	0.0038077512	0.0015649263	0.0154630000	0	0	209321984	-0.0040406096	-0.0010137832	0.0008736083
6	0.2000000000	0.0012344051	0.0017104585	0.0038077512	0.0018417596	0.0156310000	0	0	209321984	-0.0043585016	0.0018878860	-0.0003639124
7	0.2400000000	0.0011842102	0.0016352802	0.0038077512	0.0016874192	0.0153740000	0	0	209321984	-0.0051625790	0.0023521692	0.0000292289
8	0.2800000000	0.0020494149	0.0016870470	0.0038077512	0.0016295014	0.0160440000	0	0	209321984	-0.0051770932	0.0022193473	-0.0000313962
9	0.3200000000	0.0008896987	0.0015984528	0.0038077512	0.0018653892	0.0159160000	0	0	209321984	-0.0089602889	0.0014582466	-0.0007304803
10	0.3600000000	0.0023709892	0.0016757064	0.0038077512	0.0018815545	0.0155230000	0	0	209321984	-0.0073774341	0.0034801215	-0.0000145380
11	0.4000000000	0.0017919786	0.0016862766	0.0038077512	0.0019473245	0.0157270000	0	0	209321984	-0.0085101575	0.0003696232	0.0012845275
12	0.4400000000	0.0005262931	0.0015896113	0.0038077512	0.0022914617	0.0163300000	0	0	209321984	-0.0100879679	0.0003661797	0.0001145776
13	0.4800000000	0.0019669591	0.0016186381	0.0038077512	0.0023906523	0.0156670000	0	0	209321984	-0.0109940423	-0.0002893725	0.0003440175
